trade_id,symbol,side,entry_time,exit_time,entry_fr,entry_collect_fr,exit_fr,hold_settlements,gross_pct,cost_rt_pct,net_pct,gross_dollar,cost_dollar,net_dollar,cost_tier,gap_closed
SANDUSDT_20220123160000,SANDUSDT,long_spot_short_futures,2022-01-23 16:00:00.009000+00:00,2022-01-25 00:00:00+00:00,-0.05162800000000001,-0.075866,-0.011024,4,0.200554,0.2,0.0005539999999999989,0.601662,0.6,0.0016619999999999968,high,False
THETAUSDT_20220123080000,THETAUSDT,long_spot_short_futures,2022-01-23 08:00:00.010000+00:00,2022-01-25 00:00:00+00:00,-0.057016,-0.030664,-0.0036229999999999995,5,0.154256,0.2,-0.04574400000000001,0.462768,0.6,-0.13723200000000002,high,False
RSRUSDT_20220124080000,RSRUSDT,long_spot_short_futures,2022-01-24 08:00:00+00:00,2022-01-25 08:00:00+00:00,-0.056134,-0.089151,-0.00339,3,0.188263,0.2,-0.011736999999999997,0.5647890000000001,0.6,-0.03521099999999999,high,False
BANDUSDT_20220125000000,BANDUSDT,long_spot_short_futures,2022-01-25 00:00:00+00:00,2022-01-25 08:00:00+00:00,-0.053510999999999996,0.0016690000000000001,0.0016690000000000001,1,0.0016690000000000001,0.2,-0.198331,0.005007,0.6,-0.5949930000000001,high,False
ARPAUSDT_20220125000000,ARPAUSDT,long_spot_short_futures,2022-01-25 00:00:00+00:00,2022-01-25 08:00:00+00:00,-0.075148,0.005379,0.005379,1,0.005379,0.2,-0.19462100000000002,0.016137,0.6,-0.583863,high,False
CTSIUSDT_20220123080000,CTSIUSDT,long_spot_short_futures,2022-01-23 08:00:00.010000+00:00,2022-01-25 08:00:00+00:00,-0.121404,-0.03503,-0.002433,6,0.28893100000000005,0.2,0.08893100000000004,0.8667930000000001,0.6,0.2667930000000001,high,False
SANDUSDT_20220125080000,SANDUSDT,long_spot_short_futures,2022-01-25 08:00:00+00:00,2022-01-25 16:00:00.012000+00:00,-0.055506999999999994,-0.0019749999999999998,-0.0019749999999999998,1,0.0019749999999999998,0.2,-0.198025,0.005925,0.6,-0.594075,high,False
COTIUSDT_20220125080000,COTIUSDT,long_spot_short_futures,2022-01-25 08:00:00+00:00,2022-01-25 16:00:00.012000+00:00,-0.055602,0.00295,0.00295,1,0.00295,0.2,-0.19705,0.00885,0.6,-0.5911500000000001,high,False
CRVUSDT_20220125080000,CRVUSDT,long_spot_short_futures,2022-01-25 08:00:00+00:00,2022-01-25 16:00:00.012000+00:00,-0.063569,-0.009608,-0.009608,1,0.009608,0.2,-0.190392,0.028824,0.6,-0.571176,high,False
1INCHUSDT_20220122080000,1INCHUSDT,long_spot_short_futures,2022-01-22 08:00:00.003000+00:00,2022-01-25 16:00:00.012000+00:00,-0.052099000000000006,-0.037063,-0.009535,10,0.36369200000000007,0.2,0.16369200000000006,1.0910760000000002,0.6,0.49107600000000023,high,False
ONEUSDT_20220123080000,ONEUSDT,long_spot_short_futures,2022-01-23 08:00:00.010000+00:00,2022-01-26 00:00:00+00:00,-0.073221,-0.09582800000000001,-0.013643999999999998,8,1.3354190000000001,0.2,1.1354190000000002,4.006257000000001,0.6,3.4062570000000005,high,False
C98USDT_20220126160000,C98USDT,long_spot_short_futures,2022-01-26 16:00:00.005000+00:00,2022-01-27 00:00:00.004000+00:00,-0.077927,0.007945,0.007945,1,0.007945,0.2,-0.192055,0.023835000000000002,0.6,-0.576165,high,False
SANDUSDT_20220127000000,SANDUSDT,long_spot_short_futures,2022-01-27 00:00:00.004000+00:00,2022-01-27 08:00:00.004000+00:00,-0.053425,-0.009193,-0.009193,1,0.009193,0.2,-0.190807,0.027579,0.6,-0.572421,high,False
THETAUSDT_20220125080000,THETAUSDT,long_spot_short_futures,2022-01-25 08:00:00+00:00,2022-01-27 08:00:00.004000+00:00,-0.055288,-0.021311999999999998,-0.019777,6,0.241927,0.2,0.04192699999999999,0.7257809999999999,0.6,0.12578099999999998,high,False
BATUSDT_20220127000000,BATUSDT,long_spot_short_futures,2022-01-27 00:00:00.004000+00:00,2022-01-27 16:00:00.019000+00:00,-0.052585,-0.02284,-0.00772,2,0.03056,0.2,-0.16944,0.09168,0.6,-0.50832,high,False
THETAUSDT_20220127160000,THETAUSDT,long_spot_short_futures,2022-01-27 16:00:00.019000+00:00,2022-01-28 08:00:00+00:00,-0.062735,-0.074582,-0.01714,2,0.091722,0.2,-0.10827800000000001,0.27516599999999997,0.6,-0.32483400000000007,high,False
ROSEUSDT_20220127080000,ROSEUSDT,long_spot_short_futures,2022-01-27 08:00:00.004000+00:00,2022-01-28 08:00:00+00:00,-0.05667200000000001,-0.060149,-0.009121,3,0.155056,0.2,-0.04494400000000001,0.465168,0.6,-0.13483200000000004,high,False
RUNEUSDT_20220126000000,RUNEUSDT,long_spot_short_futures,2022-01-26 00:00:00+00:00,2022-01-28 16:00:00.025000+00:00,-0.051662,-0.10346999999999999,-0.0056560000000000004,8,0.406439,0.2,0.20643899999999998,1.219317,0.6,0.6193169999999999,high,False
