trade_id,symbol,side,entry_time,exit_time,entry_fr,entry_collect_fr,exit_fr,hold_settlements,gross_pct,cost_rt_pct,net_pct,gross_dollar,cost_dollar,net_dollar,cost_tier,gap_closed
DYDXUSDT_20220121160000,DYDXUSDT,long_spot_short_futures,2022-01-21 16:00:00+00:00,2022-01-22 08:00:00.003000+00:00,-0.063165,-0.042865,0.004647,2,0.047512,0.08,-0.032488,0.142536,0.24000000000000002,-0.09746400000000001,low,False
BANDUSDT_20220123000000,BANDUSDT,long_spot_short_futures,2022-01-23 00:00:00.026000+00:00,2022-01-23 08:00:00.010000+00:00,-0.05638900000000001,-0.005514,-0.005514,1,0.005514,0.08,-0.074486,0.016541999999999998,0.24000000000000002,-0.223458,low,False
CHZUSDT_20220123000000,CHZUSDT,long_spot_short_futures,2022-01-23 00:00:00.026000+00:00,2022-01-23 08:00:00.010000+00:00,-0.054060000000000004,-0.013396,-0.013396,1,0.013396,0.08,-0.066604,0.040188,0.24000000000000002,-0.19981200000000002,low,False
DYDXUSDT_20220123000000,DYDXUSDT,long_spot_short_futures,2022-01-23 00:00:00.026000+00:00,2022-01-23 08:00:00.010000+00:00,-0.051176,-0.011098,-0.011098,1,0.011098,0.08,-0.068902,0.033294,0.24000000000000002,-0.206706,low,False
RSRUSDT_20220123000000,RSRUSDT,long_spot_short_futures,2022-01-23 00:00:00.026000+00:00,2022-01-23 16:00:00.009000+00:00,-0.06025200000000001,-0.029212,-0.016589,2,0.045800999999999994,0.08,-0.03419900000000001,0.137403,0.24000000000000002,-0.10259700000000002,low,False
COTIUSDT_20220123000000,COTIUSDT,long_spot_short_futures,2022-01-23 00:00:00.026000+00:00,2022-01-24 08:00:00+00:00,-0.062291,-0.020359,0.01,4,0.111215,0.08,0.031214999999999993,0.33364499999999997,0.24000000000000002,0.09364499999999998,low,False
SANDUSDT_20220123160000,SANDUSDT,long_spot_short_futures,2022-01-23 16:00:00.009000+00:00,2022-01-25 00:00:00+00:00,-0.05162800000000001,-0.075866,-0.011024,4,0.200554,0.08,0.12055400000000001,0.601662,0.24000000000000002,0.36166200000000004,low,False
THETAUSDT_20220123080000,THETAUSDT,long_spot_short_futures,2022-01-23 08:00:00.010000+00:00,2022-01-25 00:00:00+00:00,-0.057016,-0.030664,-0.0036229999999999995,5,0.154256,0.08,0.074256,0.462768,0.24000000000000002,0.22276800000000002,low,False
RSRUSDT_20220124080000,RSRUSDT,long_spot_short_futures,2022-01-24 08:00:00+00:00,2022-01-25 08:00:00+00:00,-0.056134,-0.089151,-0.00339,3,0.188263,0.08,0.10826300000000001,0.5647890000000001,0.24000000000000002,0.32478900000000005,low,False
BANDUSDT_20220125000000,BANDUSDT,long_spot_short_futures,2022-01-25 00:00:00+00:00,2022-01-25 08:00:00+00:00,-0.053510999999999996,0.0016690000000000001,0.0016690000000000001,1,0.0016690000000000001,0.08,-0.078331,0.005007,0.24000000000000002,-0.23499299999999998,low,False
